                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.6098,                 1.1741,                 1.3768,                0.60587,                0.69569,                0.70646,                0.29161,                 1.9048,                 1.2576,                 1.5703,              0.0017179,              0.0017179,              0.0017179
                     60,                 1.6551,                  1.174,                 1.3886,                 0.6674,                0.74939,                0.76688,                0.30182,                 1.8557,                 1.2161,                 1.5517,              0.0017129,              0.0017129,              0.0017129
                     61,                 1.6261,                 1.1522,                 1.3903,                 0.6417,                0.74939,                0.74889,                0.32103,                 1.8265,                 1.2044,                 1.5203,               0.001708,               0.001708,               0.001708
                     62,                 1.6028,                 1.1576,                 1.3875,                0.67659,                0.74209,                0.78192,                0.35027,                  1.784,                 1.1365,                 1.5132,               0.001703,               0.001703,               0.001703
                     63,                 1.6159,                 1.1885,                 1.3728,                0.59012,                0.69343,                0.70071,                0.36025,                 1.6992,                 1.1905,                 1.4419,               0.001698,               0.001698,               0.001698
                     64,                 1.5871,                 1.1779,                   1.37,                 0.4785,                0.72993,                0.67039,                0.29979,                 1.8493,                  1.237,                 1.5489,              0.0016931,              0.0016931,              0.0016931
                     65,                 1.6099,                 1.1713,                 1.3824,                0.55131,                0.72506,                0.67934,                0.29421,                 1.8129,                 1.2376,                 1.5187,              0.0016882,              0.0016882,              0.0016882
                     66,                 1.5824,                 1.1601,                 1.3434,                0.57645,                0.73236,                0.70221,                0.28437,                 1.8422,                 1.2445,                 1.5366,              0.0016832,              0.0016832,              0.0016832
                     67,                  1.573,                 1.1703,                 1.3581,                0.57011,                0.72749,                0.69509,                0.27386,                 1.8943,                 1.2349,                 1.5776,              0.0016783,              0.0016783,              0.0016783
                     68,                  1.589,                 1.1536,                 1.3541,                0.52188,                0.72749,                0.65031,                0.27524,                 1.8343,                 1.2525,                 1.5398,              0.0016733,              0.0016733,              0.0016733
                     69,                 1.5761,                 1.1829,                 1.3492,                0.58233,                0.69543,                0.69584,                0.31507,                 1.6794,                 1.2198,                 1.4521,              0.0016684,              0.0016684,              0.0016684
                     70,                  1.573,                 1.1728,                 1.3512,                0.69657,                0.67586,                0.76022,                0.33098,                 1.8749,                 1.1288,                  1.572,              0.0016634,              0.0016634,              0.0016634
                     71,                 1.5527,                 1.1535,                 1.3627,                0.59469,                0.75182,                 0.7483,                0.32839,                  1.721,                 1.1979,                 1.4603,              0.0016585,              0.0016585,              0.0016585
                     72,                 1.5918,                 1.1437,                 1.3736,                0.63749,                0.71046,                0.71209,                0.27306,                 1.9685,                 1.2208,                 1.6353,              0.0016535,              0.0016535,              0.0016535
                     73,                 1.6159,                 1.1478,                 1.3845,                0.66723,                0.76642,                0.78749,                0.33296,                 1.8701,                 1.1421,                 1.5792,              0.0016485,              0.0016485,              0.0016485
                     74,                 1.5671,                 1.1359,                 1.3655,                0.55109,                0.72506,                0.69737,                0.28979,                 1.7369,                 1.2374,                  1.476,              0.0016436,              0.0016436,              0.0016436
