                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.4762,                 1.1036,                 1.3251,                0.61185,                0.73236,                0.73242,                0.35301,                 1.6793,                 1.1415,                 1.4384,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.4598,                  1.109,                 1.3012,                0.68415,                0.74311,                0.79461,                0.37066,                 1.7202,                 1.1092,                 1.4621,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.4402,                 1.0847,                 1.2877,                0.73448,                0.70073,                0.79121,                0.38421,                 1.7767,                 1.0938,                  1.493,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.4366,                 1.0767,                 1.2752,                0.64508,                0.70803,                0.74965,                0.32587,                 1.7529,                 1.1514,                 1.4998,               0.000515,               0.000515,               0.000515
                     78,                 1.4366,                 1.0993,                 1.3007,                 0.6414,                 0.6618,                0.72949,                0.34637,                 1.7065,                 1.1815,                 1.4552,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.4238,                 1.0915,                 1.2872,                0.81287,                0.73723,                 0.8419,                0.40954,                  1.792,                 1.0245,                 1.5308,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.4617,                 1.0763,                 1.3116,                0.73274,                 0.7056,                0.80503,                0.41621,                 1.6652,                 1.0953,                 1.4406,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.4386,                  1.084,                 1.2951,                0.78476,                0.70316,                0.80826,                0.40029,                 1.7774,                 1.0545,                 1.5109,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4599,                 1.0733,                 1.2833,                0.62281,                0.70803,                 0.7337,                0.35276,                 1.6946,                 1.1516,                 1.4459,               0.000416,               0.000416,               0.000416
                     83,                 1.4327,                  1.061,                 1.2953,                0.73519,                0.76332,                0.83037,                0.42565,                 1.7023,                 1.0652,                 1.4612,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.3997,                 1.0654,                 1.2731,                0.77789,                 0.6983,                0.79791,                0.40014,                 1.7948,                 1.0656,                 1.5197,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.4191,                 1.0618,                   1.27,                0.65784,                0.71776,                0.75413,                  0.384,                 1.6184,                 1.1037,                 1.4062,              0.0003566,              0.0003566,              0.0003566
                     86,                  1.431,                 1.0679,                 1.2946,                0.69689,                0.70803,                0.77525,                0.38298,                 1.6882,                 1.0936,                 1.4585,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.3747,                 1.0563,                 1.2566,                0.72085,                0.72881,                0.79516,                0.37521,                 1.7146,                 1.1008,                 1.4705,               0.000317,               0.000317,               0.000317
                     88,                 1.4365,                 1.0471,                 1.2778,                0.73661,                0.77859,                0.82592,                 0.4003,                 1.7167,                 1.0574,                 1.4704,              0.0002972,              0.0002972,              0.0002972
                     89,                   1.39,                 1.0335,                 1.2566,                0.72557,                0.71046,                0.79946,                0.38716,                 1.6925,                 1.0771,                 1.4585,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.3863,                 1.0393,                  1.265,                0.74694,                0.74939,                0.81667,                0.39609,                 1.7437,                 1.0664,                 1.4965,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.4173,                 0.9958,                 1.3356,                 0.8204,                0.74463,                0.84586,                0.42361,                 1.7584,                 1.0255,                 1.4957,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.3658,                0.95711,                 1.3059,                0.77601,                 0.7129,                0.81559,                0.40967,                 1.6778,                 1.0402,                   1.44,               0.000218,               0.000218,               0.000218
                     93,                  1.412,                0.96619,                 1.3367,                0.78973,                0.80417,                0.86161,                0.44028,                 1.6755,                0.96783,                 1.4399,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3572,                0.92092,                 1.2893,                0.79623,                0.76156,                  0.838,                0.42183,                 1.6952,                0.99803,                 1.4492,              0.0001784,              0.0001784,              0.0001784
                     95,                   1.35,                0.90644,                 1.2984,                0.77312,                0.79594,                0.84857,                0.43484,                 1.6257,                0.98235,                 1.4069,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.3724,                0.91374,                 1.3145,                0.77304,                0.77616,                0.82612,                0.40557,                 1.7383,                0.99691,                 1.4862,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3468,                0.90711,                 1.3185,                0.78972,                0.80049,                0.84679,                 0.4332,                  1.677,                0.95392,                 1.4449,               0.000119,               0.000119,               0.000119
                     98,                 1.3422,                0.90738,                 1.3148,                0.80151,                0.76642,                0.83826,                0.41653,                 1.7202,                0.96579,                 1.4728,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.3345,                0.88636,                 1.3003,                0.80011,                0.72993,                0.82698,                0.41715,                 1.6758,                0.99561,                  1.443,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.3269,                0.89366,                 1.2933,                 0.7969,                0.76372,                0.82731,                0.41356,                 1.6772,                 1.0042,                 1.4457,               5.96e-05,               5.96e-05,               5.96e-05
